@relation training

@attribute Text string
@attribute class-att {HR,FICO,LOG}

@data
"GutenTag,ich wollte meinen Urlaub im ESS-System für den Rest des Jahres beantragen, ich kann den Antrag aber leider nicht abschließen. Hierbei sind zwei Dinge GutenTag,  ich wollte meinen Urlaub im ESS-System für den Rest des Jahres beantragen, ich kann den Antrag aber leider nicht abschließen. Hierbei sind zwei Dinge auffällig:  1. Als vorgegebener Vorgesetzter steht noch Andreas Roth im System. Seit dem 01.08.2018 sollte durch meinen Positionswechsel mein neuer Vorgesetzter Andreas Eckert als Vorgesetzter eingetragen sein. Hierbei bin ich mit HR bereits in Kontakt. 2. Nachdem ich den Vorgesetzten  Andreas Roth  durch  Andreas Eckert  manuell im ESS geändert, den Urlaubsantrag eingegeben und abgeschickt habe, erhalte ich die u.a. Fehlermeldung (siehe Anhang). Ich kann somit im ESS keinen Urlaubsantrag eingeben. Können Sie bitte die Einstellungen im ESS prüfen und den Fehler beheben ?  Bitte geben Sie mir anschließend bescheid, damit ich die restlichen Urlaubstage beantragen kann. Bei Fragen oder Anmerkungen können Sie mich in der kommenden Woche unter meiner Mobilnummer erreichen, ich bin die gesamte Woche in Werk Mor / Ungarn.  Vielen Dank im Voraus.",HR
"Transport Request to JQL Please, transport the following request to JQL  1)  JELK984941 620   SOARESM      HR.10.16.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708  Tks,  Marcelo Soares.",HR
"Implementation of SAP note > JPL (HU) Hello, please help us to implement SAP note (HU) > JPL.  JELK984827 620   ITELLBK      2018.10.10 327. HRHU - PY - SP09_2018  Thank you, Klara Trminkova ",HR
"Automatischer Fakturaversand per email Keine Papierrechnungen für den Kunden CP Tech GmbH (Partnerrolle Rechnungsempfänger und Regulierer: Debitorenstamm 110089) Rechnungen sollen nur noch als PDF erstellt werden und an die hinterlegte Email-Adresse gesendet werden Verkaufsorganisationen: 2000",LOG
"Transport Request to JQL Please, transport the following request to JQL  1) JELK984943 620   SOARESM      HR.10.16.2018-SOARESM-NOVO HORARIO PORTO REAL     INC0011487  Tks,  Marcelo Soares.",HR
"ESS issue User Felix Leo Leypoldt was in ST, but now he is in BU Management EMY. On documents we can still see  that he is in ST. Caller Alexandra Lindner  can not work with documents, because it is wrong and cost center should be different.  See screenshots. l5cg8123htt, 172.25.30.232",HR
"Please add SLOC 0115 to Plant 0443  We are trying to add a SLOC to a part that has a deleted storage location 0115 in plant 0443.  ",LOG
"Copy employees to JQL and JEL Please, copy the following employees to JQL and JEL with all data (PA, PD, PY, PT/TM and clusters).  386680 385927 386390 386133 385844 385860 386624 385851 385904 385911 387134 385915 385821 385914 385882 385819 385804 385787 385802 385803 385808  Tks,  Marcelo Soares.",HR
"Transport Request to JQL Please, transport the request below to JQL  1)  JELK984949 620   SOARESM      HR.10.16.2018-SOARESM-DESCONTO LANCHE SABD. TRAB.  SR1064725  Tks,  Marcelo Soares.",HR
"Copy employees to JQL please, copy the following employees to JQL and JEL with all data (PA, PD, PY, PT/TM and clusters)  385876 386572 386581 384303 386569 386585 386566 386570 386608  Tks,  Marcelo Soares.",HR
"Transport Request to JQL Please, transport the following request to JQL  1) JELK984953 620   SOARESM      HR.10.16.2018-SOARESM-HORARIO SOBREAVISO BPO      INC0010644  Tks,  Marcelo Soares.",HR
"Output type CNNE in PO can not process  As discussion in email,   Could you please help to check why output type CNNE of PO 40323287 (the PO with payment term 60 days ) can not process?   Thanks a lot. ",LOG
"Transaction ZMM_CALLMCOTABProblem ist, wenn der User in einer anderen Sprache als Deutsch ins SAP eingeloggt ist, erscheinen in der Auswahlmaske dieser Transak Transaction ZMM_CALLMCOTAB Problem ist, wenn der User in einer anderen Sprache als Deutsch ins SAP eingeloggt ist, erscheinen in der Auswahlmaske dieser Transaktion nur die technischen Feldnamen. In der deutschen Sprachversion sind alle Felder mit englischen Bezeichnungen belegt, es würde also reichen, die Bezeichnungen aus der deutschen Version in die anderen Sprachversionen zu übernehmen.",LOG
"Personal Nummer kann nicht erfasst werden Personal Nummer kann nicht erfasst werden PI 886273 in JHP siehe Anlage",HR
"Iam using the layout  /ZVUA-JIT-CS  in the transaction  ZSD_TURNOVER  and there is a material number which needs to be added to the filter. The material number  Iam using the layout  /ZVUA-JIT-CS  in the transaction  ZSD_TURNOVER  and there is a material number which needs to be added to the filter. The material number which needs to be added is the following:   90109821 .   Please make sure to add this material to the material filter as soon as possible as we need this layout for daily analysis. Some time ago we were able to make changes like this by our own as we have created this layout in our team but this is no longer possible.",LOG
"bei Selektion von Werk '0052' und Datenfreigabe wird die Selektion automatisch mit weiteren Selektionsparametern gefüllt, die auch nach manuellem Löschen bei Da bei Selektion von Werk '0052' und Datenfreigabe wird die Selektion automatisch mit weiteren Selektionsparametern gefüllt, die auch nach manuellem Löschen bei Datenfreigabe immer wieder eingefügt werden. Eine Abarbeitung der aufgelaufenen fehlerhaften Versandanzeigen ist für Werk 0052 somit aktuell nicht möglich.",LOG
"[Readsoft-BAT] - Create Invocies User => Kein Service für Invocies User Invoices Benutzer bramsch im Invocies System Anlegen",FICO
"In der MD04 stehen unter den Material 90089827 noch alte Bedarfe aus 2016. Siehe Screenshot im Anhang.Der Vertrieb hatte den Lieferplan falsch angelegt und die In der MD04 stehen unter den Material 90089827 noch alte Bedarfe aus 2016. Siehe Screenshot im Anhang. Der Vertrieb hatte den Lieferplan falsch angelegt und die Ware wurde physisch versendet aber nicht über das System. Bitte die Bedarfe aus 2016 löschen.  Bei Fragen bitte melden.  Mit freundlichen Grüßen  F.-J. Evers",LOG
"Readsoft COA kann nicht freigegeben werden Dokument 319229 Fehlermeldung   grün Optionaler Workflow Schritt CoA Prozess schritt 1 Position 2 wurde übersprungen Meldungsnr. /COCKPIT/WC113  rot Bearbeiter für Folgeschritte sind nicht zugeordnet Meldungsnr. /COCKPIT/WC104",FICO
"Bitte die Einkaufsakte bei Frau Ernst Jacqueline aktivieren im E-Mailsystem. Ihr SAP Name ERNSTJ (Sie arbeitet bereits mit der Einkaufsakte, die Funktion im Mai Bitte die Einkaufsakte bei Frau Ernst Jacqueline aktivieren im E-Mailsystem. Ihr SAP Name ERNSTJ (Sie arbeitet bereits mit der Einkaufsakte, die Funktion im Mail ist nicht vorhanden )",LOG
"SAP HR Transport from JEL to JQL  (JELK984728) Hi SD  Please transport from JEL to JQL (JELK984728)",HR
"transport of JELK984961 > JQL, JPL (CZ); Copy of the role ZEA0350PAXX_HR_ZBA.822 for 114 (CZ) Hello,  please transport from JEL to JQL, JPL request JELK984961 (T526 - new time keepers, only change of text) please help us to to copy the role ZEA0350PAXX_HR_ZBA.822 for time keeper 114   Thank you, Klara Trminkova",HR
"User SANDERL hat keinen Zugriff auf die Einkaufsakte. Bitte bearbeiten. Details im Anhang. User SANDERL hat keinen Zugriff auf die Einkaufsakte. Bitte bearbeiten. Details im Anhang.",LOG
"Mass update Iberica vendors Mass update Iberica vendors",LOG
"ESS question/problem Hello,  please help us to solve one trouble in ESS, see the attachment with detail description.  Thank you, Klara Trminkova",HR
"Das Werk 0018 bekomt keine Lieferscheinnummer auf dem Label aus der ME2O gedruckt.Nähere Informatoinen unten im Anhang.Bei Fragen bitte melden. Das Werk 0018 bekomt keine Lieferscheinnummer auf dem Label aus der ME2O gedruckt. Nähere Informatoinen unten im Anhang. Bei Fragen bitte melden.",LOG
"Bitte diesen Auftrag JELK984680 620   ALBRECT      AT, HR, ALBRECT 04.10.2018 - Einstellungen für Polen (TMW) aus JEL ins JQL transportieren. Im Auftrag sind Ei Bitte diesen Auftrag JELK984680 620   ALBRECT      AT, HR, ALBRECT 04.10.2018 - Einstellungen für Polen (TMW) aus JEL ins JQL transportieren. Im Auftrag sind Einstellung für Zeitwirtschaft (TMW) für Poland (Molga 46).   Vielen Dank Tomas",HR
"Urlaubsantrag kann nicht mehr bearbeitet werden. Ist angelegt, wird aber dem Vorgesetzten nicht angezeigt. Kann nicht mehr gelöscht oder verändert werden. Fehle Urlaubsantrag kann nicht mehr bearbeitet werden. Ist angelegt, wird aber dem Vorgesetzten nicht angezeigt. Kann nicht mehr gelöscht oder verändert werden. Fehlermeldung siehe Screenshot. Neuanlege des Urlaubs im gleichen Zeitraum ist auch nicht möglich.",HR
"Transport Request to JQL Please, transport the following request to JQL  1)  JELK984967 620   SOARESM      HR.10.17.2018-SOARESM-HORARIO SOBREAVISO BPO      INC0010644  Tks,  Marcelo Soares.",HR
"Hello,in old maximo tool I created a ticket for the translation of Personell actions in IT 0000. The changes were transported from JEL to JQL and I would like  Hello, in old maximo tool I created a ticket for the translation of Personell actions in IT 0000. The changes were transported from JEL to JQL and I would like to transported them from JQL to JPL.  Transport Number was: JELK984803 Could you please transported to JPL - it was done by Marcel Peitz. Thank you for help.  Best regards, Iva Grohova",HR
"Transport Request to JPL Please, transport the following request to JPL  1) JELK984943 620   SOARESM      HR.10.16.2018-SOARESM-NOVO HORARIO PORTO REAL     INC0011487  Tks,  Marcelo Soares.",HR
"Transport Request to JQL Please, transport the following request to JQL  1) JELK984951 620   SOARESM      HR.10.16.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708  Tks,  Marcelo Soares.",HR
"Transport Request to JQL Please, transport the following request to JQL  1)  JELK984973 620   SOARESM      HR.10.17.2018-SOARESM-HORARIO SOBREAVISO BPO      INC0010644  Tks,  Marcelo Soares.",HR
"In der KZS2 wurde der Kostenrechnungskreis eines Abschlags (F279) falsch eingetragen und kann nun von uns nicht mehr geändert werden. Wir haben versucht eine ne In der KZS2 wurde der Kostenrechnungskreis eines Abschlags (F279) falsch eingetragen und kann nun von uns nicht mehr geändert werden. Wir haben versucht eine neue Zeile mit dem korrekten Kostenrechnungskreis hinzuzufügen, diese wird jedoch nicht vom System erkannt/herangezogen. Idealerweise wird der Kostenrechnungskreis in Zeile 01.01.2018 - 31.12.2018; ZA:1; Werk 0377; Prozent 5,000- einfach auf C001 geändert. Wäre dies möglich? Screenshot im Anhang.",FICO
"Der Lieferant 3M bekommt Lieferabrufe per Email an eine Sammel Email Adresse. Durch die Betreff Zeile ist nicht eindeutig zu erkennen das es sich hierbei um ein Der Lieferant 3M bekommt Lieferabrufe per Email an eine Sammel Email Adresse. Durch die Betreff Zeile ist nicht eindeutig zu erkennen das es sich hierbei um einen Lieferabruf handelt. Da eine EDI Anbindung mit dem Lieferanten derzeit nicht möglich ist, liegt hier ein etwas größerer Fokus auf eine genauerer Beschreibung des Lieferabrufes. Für genauere Informationen ist die Email im Anhang.",LOG
"Transport Request to JQL Please, transport the request below to JQL  1) JELK984970 620 INTELLA HR.08082018-INTELLA-Ajuste na folga Turno I SC  Tks,  Marcelo Soares.",HR
"Seit Einführung Reeland werden Frachtkosten gar nicht, oder nicht korrekt abgerechnet. Mehrfache versuche das zu korrigieren sind bisher gescheitert. '@Stephan: Anbei das Ticket im Auftrag der SCM. Bitte asap das Problem lösen und Christoph Meldung geben. Danke.",LOG
"Guten Tag, ich habe noch die alte Oberfläche im ESS (siehe Bild im Anhang). Alle Kollegen im Werk haben die Neue. Ist das ein Problem? Mein User ist: Oelman Guten Tag,   ich habe noch die alte Oberfläche im ESS (siehe Bild im Anhang). Alle Kollegen im Werk haben die Neue. Ist das ein Problem?   Mein User ist: Oelmann  Vielen Dank und viele Grüße",HR
"Copy employees to JQL and JEL Please, copy the following employees to JQL and JEL with all data (PA, PD, PY, PT/TM and clusters).  380641 380030 386810 385714  Tks,  Marcelo Soares.",HR
"Transport Request to JQL Please, transport the following request to JQL  1) JELK984975 620   SOARESM      HR.10.17.2018-SOARESM-DESCONTO LANCHE SABD. TRAB. INC0011725  Tks,  Marcelo Soares.",HR
"Dear colleagues,I would like to ask you for a help with one issue in ESS in China. One employee Pi. Nr. 526028 cannot see his available vacation in ESS. It wa Dear colleagues,  I would like to ask you for a help with one issue in ESS in China. One employee Pi. Nr. 526028 cannot see his available vacation in ESS. It was told me that there still should be some available days, but as you can see on print screen in the attachment no vacation is available for this employee.  Would you be so kind and take a look on it? I checked it in SAP and vacation is available in SAP.   Thank you for your help.  Best regards, Iva Grohová",HR
"Transport Request to JQL Please, transport the request below to JQL  1)  JELK984986 620   SOARESM      HR.10.18.2018-SOARESM-ALTERACAO TETO DESC SINDICATINC0011943  Tks,  Marcelo Soares.",HR
"I'm having a problem with creating SBS invoices for some part numbers.  ( SAP transaction MRKO )See detail in attachment.I have 2 different errors:  No purch I'm having a problem with creating SBS invoices for some part numbers.  ( SAP transaction MRKO ) See detail in attachment. I have 2 different errors:   No purchase document to source list can be selected   or   More than one item selected concerning Vendor, Material, Plant    Can someone support me with this ?  The responsible purchaser Thorsten Peters cannot found any mistake in the purchase agreements.  Many Thanks  Kind Regards  Vicky",FICO
"Transport Request to JPL Please, transport the requests below to JPL in the following sequence:  1) JELK984281 620   SOARESM      HR.09.18.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1035796 2) JELK984418 620   SOARESM      HR.09.24.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 3) JELK984464 620   SOARESM      HR.09.24.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 4) JELK984491 620   SOARESM      HR.09.26.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 5) JELK984514 620   SOARESM      HR.09.26.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 6) JELK984561 620   SOARESM      HR.09.26.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 7) JELK984566 620   SOARESM      HR.09.28.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 8) JELK984941 620   SOARESM      HR.10.16.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708 9) JELK984951 620   SOARESM      HR.10.16.2018-SOARESM-AJUSTE BCO HORAS PORTO REAL  SR1057708  Tks,  Marcelo Soares.",HR
